3621;TOO YOUNG TO HAVE A BROKEN HEART;NAT KING COLE; 
3649;TOUCH BY TOUCH;JOY; 
3670;TOUCH ME;SAMANTHA FOX; 
3710;TOUCH ME;THE DOORS; 
3663;TRUST IN ME;JOE COCKER; 
3711;TRY SOME BUY SOME;GEORGE HARRISON; 
3610;TRY TO REMEMBER;ANDY WILLIAMS; 
3623;TU SEI MIA;TOTO CUTUGNO; 
3884;TURN OFF THE LIGHT;NELLY FURTADO; 
3712;TWIST AND SHOUT;BEATLES; 
3624;UH... UH...;ADRIANO CELENTANO; 
3625;UN ALBERO Dl TRENTA PIANI;ADRIANO CELENTANO; 
3677;UN HOMME ET UNE FEMME;F.LAI & N.CRISILLE;•
3626;UNA SERATA COME TANTE;TOTO CUTUGNO;•
3664;UNCHAIN MY HEART;JOE COCKER; 
3627;UNE FEMME AMOUREUSE;MIREILLE MATHIEU; 
3665;UP WHERE WE BELONG;JOE COCKER; 
3672;VALERIE;JOY; 
3845;VELVET;A-HA; 
3628;VENUS;SHOCKING BLUE; 
3629;VOGLIO L'ANIMA;TOTO CUTUGNO;•
3841;VOGUE;MADONNA; 
3666;WAIT UNTIL TOMORROW;JIMI HENDRIX; 
3882;WAITING FOR HER;A-HA; 
3872;WAITING FOR TONIGHT;JENNIFER LOPEZ; 
3838;WALK LIKE AN EGYPTIAN;THE BANGLES; 
3713;WALK THIS WAY;AEROSMITH; 
3714;WALKIN' BLUES;ERIC CLAPTON; 
3692;WANTED;DOOLEYS; 
3631;WE SHALL DANCE;DEMIS ROUSSOS;•
3715;WHAT CAN I DO;SMOKIE; 
3555;WHEN THE SAINTS GO MARCHING IN;FOLK; 
3729;WHILE MY GUITAR GENTLY WEEPS;BEATLES; 
3858;WHO IS IT;MICHAEL JACKSON; 
3717;WHO'LL STOP THE RAIN;C.C.R.; 
3586;WHO'S CRYING NOW;JOURNEY; 
3703;WHY NO REPLY?;ARABESQUE; 
3865;WICKED GAME;CHRIS ISAAK; 
3835;WILL YOU BE THERE;MICHAEL JACKSON; 
3667;WINTERTIME;STEVE MILLER BAND; 
3678;WITHOUT YOU;HARRY NILSSON; 
3864;WITHOUT YOU;MARIAH CAREY; 
3679;WOMAN IN LOVE;BARBRA STREISAND;•
3883;WONDERFUL TONIGHT;ERIC CLAPTON; 
3599;WORDS;F.R.DAVID; 
